Time	XP	YP	ZP	XP2	YP2	ZP2	XA	YA	ZA	Angle	AngleRate	FX1	FY1	FZ1	TX1	TY1	TZ1	FX2	FY2	FZ2	TX2	TY2	TZ2	StopTorque
2.69999999999999928e-03	7.42488458542005583e-03	8.18402431330629565e-02	6.01916680313945851e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.36856666979949406e-12	1.00000000000000000e+00	3.47992734144657824e-12	3.88338369906637837e-03	2.74702955074629562e+00	-1.59852187854267186e+02	1.14237351956967814e+03	-2.58963756218296930e+03	-1.27436815328451885e+02	-7.51320398473049238e+01	-7.66304372739711965e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-9.73565677043674027e-02
2.79999999999999910e-03	7.42488482139932668e-03	8.18402431331558822e-02	6.01916678610829536e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.36464742465730464e-12	1.00000000000000000e+00	3.47503501313353195e-12	4.16794953987142947e-03	2.84565842725083140e+00	-1.59515964490952342e+02	1.13998724756928914e+03	-2.58405959935358806e+03	-1.27201046565407680e+02	-7.48708046366701581e+01	-7.64234009693667247e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-1.00777560651820211e-01
2.89999999999999893e-03	7.42488506574344106e-03	8.18402431332539287e-02	6.01916676840848819e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.36051349274554808e-12	1.00000000000000000e+00	3.46986263294754468e-12	4.46235726962651569e-03	2.94407731881749823e+00	-1.59181807507247072e+02	1.13761639940152804e+03	-2.57851148987223132e+03	-1.26967963274829899e+02	-7.46072907158274035e+01	-7.62159003868974025e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-1.04176908078711272e-01
2.99999999999999876e-03	7.42488531829322077e-03	8.18402431333559166e-02	6.01916675004398827e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.35621192693349269e-12	1.00000000000000000e+00	3.46448116564102537e-12	4.76658600656598708e-03	3.04228739285863892e+00	-1.58849695927097059e+02	1.13526083298035746e+03	-2.57299295175886664e+03	-1.26737540727973396e+02	-7.43415161559927640e+01	-7.60079371964763197e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-1.07554832099321346e-01
3.09999999999999859e-03	7.42488557888585157e-03	8.18402431334609298e-02	6.01916673101875133e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.35178350487848861e-12	1.00000000000000000e+00	3.45894720727317367e-12	5.08061498457301752e-03	3.14028980587532214e+00	-1.58519608974310927e+02	1.13292040809116429e+03	-2.56750370674727492e+03	-1.26509754457933482e+02	-7.40734988088783268e+01	-7.57995130104656170e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-1.10911551689449814e-01
3.19999999999999842e-03	7.42488584735510534e-03	8.18402431335681912e-02	6.01916671133673087e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.34725860064777273e-12	1.00000000000000000e+00	3.45330596242006362e-12	5.40442355210313252e-03	3.23808570359925652e+00	-1.58191526066683650e+02	1.13059498634585907e+03	-2.56204348019708914e+03	-1.26284580253871425e+02	-7.38032563093223217e+01	-7.55906293836428063e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-1.14247282734759675e-01
3.29999999999999825e-03	7.42488612353150307e-03	8.18402431336771041e-02	6.01916669100186819e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.34266047241632469e-12	1.00000000000000000e+00	3.44759339648780828e-12	5.73799117112372414e-03	3.33567622113327511e+00	-1.57865426814252146e+02	1.12828443116350945e+03	-2.55661200106437127e+03	-1.26061994158160914e+02	-7.35308060795864833e+01	-7.53812878148353320e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-1.17562238077119505e-01
3.39999999999999808e-03	7.42488640724248139e-03	8.18402431337871827e-02	6.01916667001808570e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.33801045955255829e-12	1.00000000000000000e+00	3.44183821141255999e-12	6.08129741606067142e-03	3.43306248308962791e+00	-1.57541291015664115e+02	1.12598860774026161e+03	-2.55120900183204412e+03	-1.25841972462204183e+02	-7.32561653324819559e+01	-7.51714897477597788e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-1.20856627562479807e-01
3.49999999999999790e-03	7.42488669831251058e-03	8.18402431338980663e-02	6.01916664838928694e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.33332389805176209e-12	1.00000000000000000e+00	3.43606325234258121e-12	6.43432197276716522e-03	3.53024560372356166e+00	-1.57219098651464606e+02	1.12370738299469895e+03	-2.54583421840473738e+03	-1.25624491699647749e+02	-7.29793510732586839e+01	-7.49612365701735541e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-1.24130658086105863e-01
3.59999999999999773e-03	7.42488699656318474e-03	8.18402431340094494e-02	6.01916662611934328e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.32861376298658159e-12	1.00000000000000000e+00	3.43028663648772399e-12	6.79704463749697396e-03	3.62722668706853302e+00	-1.56898829886727867e+02	1.12144062558158043e+03	-2.54048739014433932e+03	-1.25409528647196282e+02	-7.27003801055385850e+01	-7.47505296175600051e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-1.27384533634855274e-01
