Time	Body	XP	YP	ZP	FX	FY	FZ	Body	XP	YP	ZP	FX	FY	FZ	Body	XP	YP	ZP	FX	FY	FZ
8.82299999999919149e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613282e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.82399999999919138e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613213e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.82499999999919127e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613178e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.82599999999919116e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613282e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.82699999999919105e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613213e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.82799999999919094e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613178e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.82899999999919083e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613282e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.82999999999919072e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613213e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.83099999999919061e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613178e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.83199999999919050e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613282e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.83299999999919039e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613213e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.83399999999919028e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613178e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.83499999999919017e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613282e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.83599999999919006e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613213e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.83699999999918995e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613178e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.83799999999918984e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613282e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.83899999999918973e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613213e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.83999999999918962e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613178e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.84099999999918951e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613282e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.84199999999918940e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613213e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.84299999999918929e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613178e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.84399999999918918e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613282e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.84499999999918907e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613213e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.84599999999918896e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613178e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.84699999999918885e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613282e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.84799999999918874e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613213e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.84899999999918863e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613178e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.84999999999918852e-01	BoneTrunk	-6.23002651921458761e-04	6.64243251755079339e-02	7.69482254845097025e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.37755382006613282e-02	1.34139686759182086e-01	5.97147816421400801e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946278990831688e-03	9.79313925584507500e-02	7.13293671471527890e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
