Time	Body	XP	YP	ZP	FX	FY	FZ	Body	XP	YP	ZP	FX	FY	FZ	Body	XP	YP	ZP	FX	FY	FZ
2.00000000000000048e-03	BoneTrunk	-1.65748596224265243e-02	4.77847383035772469e-02	7.38509952889579990e-01	-1.15928422653402748e+02	1.15952163371697202e+03	-2.62627391298895827e+03	BoneLeftThigh	-1.22268840221228213e-02	1.23860143067389794e-01	5.67863594534918525e-01	-8.88045377697203435e+02	-1.15952163371883057e+03	2.47429373203174055e+03	BoneLeftThigh	7.42488301629524311e-03	1.10079416254425050e-01	6.01916691485936295e-01	1.00397380035060621e+03	1.85845253792555559e-09	1.51980180957217556e+02
2.10000000000000030e-03	BoneTrunk	-1.65748596224291264e-02	4.77847383036272277e-02	7.38509952889472743e-01	-1.15674506190904680e+02	1.15702325217473208e+03	-2.62052171490462024e+03	BoneLeftThigh	-1.22338665344966339e-02	1.23860143067342526e-01	5.67867623980766623e-01	-8.85594037972117235e+02	-1.15702325217658836e+03	2.46905606448559729e+03	BoneLeftThigh	7.42488318017623522e-03	1.10080281595794749e-01	6.01916690331307125e-01	1.00126854416302183e+03	1.85631640586513917e-09	1.51465650419023461e+02
2.20000000000000013e-03	BoneTrunk	-1.65748596224297648e-02	4.77847383036408627e-02	7.38509952889444543e-01	-1.15422053249263016e+02	1.15454134443422686e+03	-2.61480267689975426e+03	BoneLeftThigh	-1.22411891108591998e-02	1.23860143067329675e-01	5.67871851708067976e-01	-8.83131412535645154e+02	-1.15454134443607882e+03	2.46385758470064911e+03	BoneLeftThigh	7.42488335351915857e-03	1.10081189258996737e-01	6.01916689106908431e-01	9.98553465784907985e+02	1.85194212275955895e-09	1.50945092199104892e+02
2.29999999999999996e-03	BoneTrunk	-1.65748596224288350e-02	4.77847383036255763e-02	7.38509952889479182e-01	-1.15171049764395377e+02	1.15207575427673510e+03	-2.60911648027449519e+03	BoneLeftThigh	-1.22488508802506592e-02	1.23860143067344164e-01	5.67876277507085470e-01	-8.80657583826941732e+02	-1.15207575427858092e+03	2.45869790710197731e+03	BoneLeftThigh	7.42488353620962202e-03	1.10082139161286688e-01	6.01916687813047524e-01	9.95828633591336825e+02	1.84557054516137685e-09	1.50418573172517853e+02
2.39999999999999979e-03	BoneTrunk	-1.65748596224266492e-02	4.77847383035873360e-02	7.38509952889563559e-01	-1.14921481865891352e+02	1.14962632762849057e+03	-2.60346281071326575e+03	BoneLeftThigh	-1.22568509703566628e-02	1.23860143067380385e-01	5.67880901180047193e-01	-8.78172633204456702e+02	-1.14962632763033139e+03	2.45357665053443725e+03	BoneLeftThigh	7.42488372812508471e-03	1.10083131220859387e-01	6.01916686450057470e-01	9.93094115070348153e+02	1.84071608734727002e-09	1.49886160178828192e+02
2.49999999999999962e-03	BoneTrunk	-1.65748596224234920e-02	4.77847383035309020e-02	7.38509952889687904e-01	-1.14673335873832869e+02	1.14719291252576477e+03	-2.59784135821346126e+03	BoneLeftThigh	-1.22651885074954829e-02	1.23860143067433828e-01	5.67885722541042193e-01	-8.75676640964283024e+02	-1.14719291252759854e+03	2.44849343819216620e+03	BoneLeftThigh	7.42488392913584830e-03	1.10084165356841207e-01	6.01916685018290432e-01	9.90349976838115936e+02	1.83372652983968483e-09	1.49347920021294811e+02
2.59999999999999945e-03	BoneTrunk	-1.65748596224195438e-02	4.77847383034600906e-02	7.38509952889843335e-01	-1.14426598292314665e+02	1.14477535904683964e+03	-2.59225181693895456e+03	BoneLeftThigh	-1.22738626166047776e-02	1.23860143067500872e-01	5.67890741415916223e-01	-8.73169686332343417e+02	-1.14477535904866681e+03	2.44344789747728373e+03	BoneLeftThigh	7.42488413910596945e-03	1.10085241489282601e-01	6.01916683518113116e-01	9.87596284624658097e+02	1.82709244848502812e-09	1.48803919461671342e+02
2.69999999999999928e-03	BoneTrunk	-1.65748596224149849e-02	4.77847383033779272e-02	7.38509952890023857e-01	-1.14181255808518287e+02	1.14237351929970623e+03	-2.58669388519967924e+03	BoneLeftThigh	-1.22828724212284794e-02	1.23860143067578671e-01	5.67895957642171711e-01	-8.70651847498321331e+02	-1.14237351930152704e+03	2.43843965997746636e+03	BoneLeftThigh	7.42488435789392942e-03	1.10086359539150899e-01	6.01916681949902554e-01	9.84833103306839575e+02	1.82090360041595325e-09	1.48254225222212739e+02
2.79999999999999910e-03	BoneTrunk	-1.65748596224099473e-02	4.77847383032868681e-02	7.38509952890223920e-01	-1.13937295286645508e+02	1.13998724735828864e+03	-2.58116726531442828e+03	BoneLeftThigh	-1.22922170435034901e-02	1.23860143067664880e-01	5.67901371068867178e-01	-8.68123201609455123e+02	-1.13998724736010081e+03	2.43346836133351371e+03	BoneLeftThigh	7.42488458535315449e-03	1.10087519428322789e-01	6.01916680314044106e-01	9.82060496896100631e+02	1.81209430640995659e-09	1.47698903980914281e+02
2.89999999999999893e-03	BoneTrunk	-1.65748596224045142e-02	4.77847383031888423e-02	7.38509952890439192e-01	-1.13694703765733905e+02	1.13761639923755388e+03	-2.57567166356161306e+03	BoneLeftThigh	-1.23018956041460840e-02	1.23860143067757680e-01	5.67906981556519308e-01	-8.65583824793230860e+02	-1.13761639923935763e+03	2.42853364118985155e+03	BoneLeftThigh	7.42488482133252942e-03	1.10088721079577234e-01	6.01916678610927680e-01	9.79278528558964695e+02	1.80402580908169218e-09	1.47138022371761423e+02
