Time	VMax	F0	K	Alpha	FCE	LCE	VCE	PMECH	PMET
6.90000000000000509e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.60352901063206855e+03	1.87919909899990772e-01	-1.81838862231276099e-01	-4.73422753079455276e+02	1.69724687348234966e+03
7.00000000000000535e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.59872288222107136e+03	1.87901477130461347e-01	-1.84327695294250749e-01	-4.79016599588242741e+02	1.70220693135955662e+03
7.10000000000000561e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.59394079319261527e+03	1.87882795957528131e-01	-1.86811729332159171e-01	-4.84578565361545088e+02	1.70716633568679276e+03
7.20000000000000587e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.58918255057348824e+03	1.87863866859025286e-01	-1.89290985028456316e-01	-4.90108915416546495e+02	1.71212504769961470e+03
7.30000000000000614e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.58444796357501446e+03	1.87844690310736223e-01	-1.91765482890626782e-01	-4.95607911740659688e+02	1.71708302887108130e+03
7.40000000000000640e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.57973684355935438e+03	1.87825266786410899e-01	-1.94235243253237932e-01	-5.01075813338091393e+02	1.72204024091251949e+03
7.50000000000000666e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.57504900400054657e+03	1.87805596757782495e-01	-1.96700286284046122e-01	-5.06512876282355364e+02	1.72699664578052034e+03
7.60000000000000692e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.57038426046563882e+03	1.87785680694584511e-01	-1.99160631979833358e-01	-5.11919353745353249e+02	1.73195220566340231e+03
7.70000000000000719e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.56574243057354761e+03	1.87765519064567094e-01	-2.01616300174178864e-01	-5.17295496052143676e+02	1.73690688299170665e+03
7.80000000000000745e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.56112333397967859e+03	1.87745112333513903e-01	-2.04067310531907964e-01	-5.22641550705746454e+02	1.74186064042193516e+03
