Time	VMax	F0	K	Alpha	FCE	LCE	VCE	PMECH	PMET
4.69999999999999932e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84784890095503140e-01	3.26361400601604679e-02	0.00000000000000000e+00	0.00000000000000000e+00
4.79999999999999958e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84788220652641777e-01	3.33055713863661396e-02	0.00000000000000000e+00	0.00000000000000000e+00
4.89999999999999984e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84791617983993739e-01	3.39733135196196301e-02	0.00000000000000000e+00	0.00000000000000000e+00
5.00000000000000010e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84795081920676174e-01	3.46393668243516473e-02	0.00000000000000000e+00	0.00000000000000000e+00
5.10000000000000037e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84798612293835846e-01	3.53037315967141829e-02	0.00000000000000000e+00	0.00000000000000000e+00
5.20000000000000063e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84802208934642997e-01	3.59664080715194068e-02	0.00000000000000000e+00	0.00000000000000000e+00
5.30000000000000089e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84805871674285943e-01	3.66273964294561161e-02	0.00000000000000000e+00	0.00000000000000000e+00
5.40000000000000115e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84809600343963598e-01	3.72866967765506097e-02	0.00000000000000000e+00	0.00000000000000000e+00
5.50000000000000142e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84813394774880485e-01	3.79443091688691503e-02	0.00000000000000000e+00	0.00000000000000000e+00
5.60000000000000168e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84817254798239350e-01	3.86002335886481696e-02	0.00000000000000000e+00	0.00000000000000000e+00
5.70000000000000194e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84821180245235306e-01	3.92544699595598345e-02	0.00000000000000000e+00	0.00000000000000000e+00
5.80000000000000220e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84825170947049894e-01	3.99070181458793805e-02	0.00000000000000000e+00	0.00000000000000000e+00
5.90000000000000246e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84829226734843977e-01	4.05578779408277690e-02	0.00000000000000000e+00	0.00000000000000000e+00
6.00000000000000273e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84833347439752438e-01	4.12070490846128124e-02	0.00000000000000000e+00	0.00000000000000000e+00
6.10000000000000299e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84837532892876660e-01	4.18545312422247129e-02	0.00000000000000000e+00	0.00000000000000000e+00
6.20000000000000325e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84841782925279363e-01	4.25003240270283023e-02	0.00000000000000000e+00	0.00000000000000000e+00
6.30000000000000351e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84846097367977802e-01	4.31444269843872519e-02	0.00000000000000000e+00	0.00000000000000000e+00
6.40000000000000378e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84850476051936413e-01	4.37868395861129578e-02	0.00000000000000000e+00	0.00000000000000000e+00
6.50000000000000404e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84854918808062429e-01	4.44275612601630066e-02	0.00000000000000000e+00	0.00000000000000000e+00
6.60000000000000430e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84859425467198024e-01	4.50665913559467057e-02	0.00000000000000000e+00	0.00000000000000000e+00
6.70000000000000456e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84863995860114094e-01	4.57039291607008735e-02	0.00000000000000000e+00	0.00000000000000000e+00
